Temperature (C),Abs,Measurement,Name,norm_Abs,dabs_dt
90.0,0.3282865662694539,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9653403145450908,-0.026642229837887554
89.0,0.3296935667864366,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9919825443829784,-0.01732984272745458
88.0,0.3301169759480073,1,10 mM MgCl2_260.00nm_90.0-21.0C,1.0,-0.0030252907693773534
87.0,0.3300131035296024,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9980331259217331,0.008844176224317823
86.0,0.3291828378825662,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9823116475513644,0.01165529327704945
85.0,0.3287820501405897,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9747225393676342,0.0062074814777752785
84.0,0.328527192337765,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9698966845958138,0.00045774562443073874
83.0,0.328733702210695,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9738070481187727,0.009034071443887681
82.0,0.3275729971919869,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9518285417080384,0.017185057957704197
81.0,0.3269185849642788,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9394369322033643,0.013363333286006862
80.0,0.3261615374938737,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.9251018751360247,0.01616837418551964
79.0,0.325210851717008,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.907100183832325,0.018645633647525806
78.0,0.3241921515722621,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.8878106078409731,0.02063090652627403
77.0,0.3230317776436353,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.865838370779777,0.022457416621962878
76.0,0.3218201581625917,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.8428957745970473,0.02318062942193505
75.0,0.3205833971755511,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.8194771119359069,0.020898407747585168
74.0,0.3196128301210663,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.801098959101877,0.023343668967445053
73.0,0.318117796172533,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.7727897740010168,0.026665918935799005
72.0,0.3167963270012612,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.747767121230279,0.025128191938478595
71.0,0.3154637105901017,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.7225333901240596,0.025297768548389332
70.0,0.3141243304272001,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.6971715841335003,0.02427117533030987
69.0,0.312900144668982,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.6739910394634399,0.02298667464958487
68.0,0.311696435816841,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.6511982348343306,0.022630997956486654
67.0,0.3105098172813451,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.6287290435504665,0.0214846412243358
66.0,0.3094271887235035,1,10 mM MgCl2_260.00nm_90.0-21.0C,0.608228952385659,0.01999144277672721
