Temperature (C),Abs,Measurement,Name,norm_Abs,dabs_dt
90.0,0.514417842410893,1,116 mM KCl_260.00nm_90.0-21.0C,0.9610270973189243,-0.031389678275984156
89.0,0.5206086759719436,1,116 mM KCl_260.00nm_90.0-21.0C,0.9924167755949085,-0.019486451340537836
88.0,0.5221042784351245,1,116 mM KCl_260.00nm_90.0-21.0C,1.0,-0.0018947104191812114
87.0,0.5213560450114354,1,116 mM KCl_260.00nm_90.0-21.0C,0.9962061964332709,0.007516819241692729
86.0,0.5191392670435024,1,116 mM KCl_260.00nm_90.0-21.0C,0.9849663615166145,0.011889134307218996
85.0,0.5166663727545978,1,116 mM KCl_260.00nm_90.0-21.0C,0.9724279278188329,0.013495775161233348
84.0,0.5138158548653993,1,116 mM KCl_260.00nm_90.0-21.0C,0.9579748111941478,0.015786799139691943
83.0,0.5104392655458982,1,116 mM KCl_260.00nm_90.0-21.0C,0.940854329539449,0.016600427995236033
82.0,0.5072678115336305,1,116 mM KCl_260.00nm_90.0-21.0C,0.9247739552036758,0.016199985444304843
81.0,0.5040491768871135,1,116 mM KCl_260.00nm_90.0-21.0C,0.9084543586508393,0.015876813549001112
80.0,0.5010051981167291,1,116 mM KCl_260.00nm_90.0-21.0C,0.8930203281056736,0.01649094247827204
79.0,0.4975443201472499,1,116 mM KCl_260.00nm_90.0-21.0C,0.8754724736942953,0.01704910544198962
78.0,0.4942801738442175,1,116 mM KCl_260.00nm_90.0-21.0C,0.8589221172216943,0.016407655606585136
77.0,0.4910723159365458,1,116 mM KCl_260.00nm_90.0-21.0C,0.842657162481125,0.016474924329350327
76.0,0.487781635467547,1,116 mM KCl_260.00nm_90.0-21.0C,0.8259722685629937,0.016973821937494638
75.0,0.484376987262831,1,116 mM KCl_260.00nm_90.0-21.0C,0.8087095186061357,0.017056940825045053
74.0,0.481053520526061,1,116 mM KCl_260.00nm_90.0-21.0C,0.7918583869129036,0.017142945747541494
73.0,0.4776149476563054,1,116 mM KCl_260.00nm_90.0-21.0C,0.7744236271110527,0.01731554662730128
72.0,0.4742233984556319,1,116 mM KCl_260.00nm_90.0-21.0C,0.757227293658301,0.017474568740931562
71.0,0.4707220992699609,1,116 mM KCl_260.00nm_90.0-21.0C,0.7394744896291896,0.017683124128913486
70.0,0.4672482853398496,1,116 mM KCl_260.00nm_90.0-21.0C,0.721861045400474,0.01728437684811024
69.0,0.4639042721274001,1,116 mM KCl_260.00nm_90.0-21.0C,0.7049057359329691,0.01792836975835793
68.0,0.4601764350189187,1,116 mM KCl_260.00nm_90.0-21.0C,0.6860043058837582,0.019203055713502448
67.0,0.4563296215852292,1,116 mM KCl_260.00nm_90.0-21.0C,0.6664996245059642,0.019145405250515224
66.0,0.4526245247175323,1,116 mM KCl_260.00nm_90.0-21.0C,0.6477134953827277,0.01886588291174024
